"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 19:57:54 ICT 2024","Thu Feb 29 19:57:54 ICT 2024","128","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the product details page",""
"passed","Thu Feb 29 19:57:54 ICT 2024","Thu Feb 29 19:57:54 ICT 2024","1","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa views the details of the product",""
"passed","Thu Feb 29 19:57:55 ICT 2024","Thu Feb 29 19:57:56 ICT 2024","994","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa completes the checkout process with ""<first name>"", ""<last name>"", and ""<postal code>""",""
"passed","Thu Feb 29 19:57:53 ICT 2024","Thu Feb 29 19:57:54 ICT 2024","480","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa logs in with ""standard_user"" credential",""
"passed","Thu Feb 29 19:57:55 ICT 2024","Thu Feb 29 19:57:55 ICT 2024","1","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the product in the cart",""
"passed","Thu Feb 29 19:57:56 ICT 2024","Thu Feb 29 19:57:56 ICT 2024","1","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","",""
"passed","Thu Feb 29 19:57:53 ICT 2024","Thu Feb 29 19:57:53 ICT 2024","813","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the login page",""
"passed","Thu Feb 29 19:57:54 ICT 2024","Thu Feb 29 19:57:54 ICT 2024","391","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the product detail page",""
"passed","Thu Feb 29 19:57:54 ICT 2024","Thu Feb 29 19:57:55 ICT 2024","64","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa adds the product to the cart",""
"passed","Thu Feb 29 19:57:56 ICT 2024","Thu Feb 29 19:57:56 ICT 2024","52","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","And Annisa clicks the finish button",""
"passed","Thu Feb 29 19:57:56 ICT 2024","Thu Feb 29 19:57:56 ICT 2024","44","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the order success message",""
"passed","Thu Feb 29 19:57:55 ICT 2024","Thu Feb 29 19:57:55 ICT 2024","336","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the cart page",""
"passed","Thu Feb 29 19:57:54 ICT 2024","Thu Feb 29 19:57:54 ICT 2024","135","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see home page",""
